Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-08-15,Freddie Woodman,Matchweek 1,Home,L 2–4,Newcastle Utd,West Ham,Y,GK,90,7,4,3,42.9,0,3.1,1,0,1,0,4,9,44.4,17,4,23.5,27.9,10,50,43.5,5,0,0,0,9.7
2021-08-21,Freddie Woodman,Matchweek 2,Away,L 0–2,Newcastle Utd,Aston Villa,Y,GK,90,1,2,0,0,0,1.4,1,1,0,0,0,15,0,19,3,42.1,35.1,11,63.6,51.7,7,0,0,0,17.4
2021-08-28,Freddie Woodman,Matchweek 3,Home,D 2–2,Newcastle Utd,Southampton,Y,GK,90,5,2,4,80,0,2,1,1,0,0,6,19,31.6,14,4,57.1,48.4,13,84.6,64.5,12,1,8.3,0,5.7
2021-09-11,Freddie Woodman,Matchweek 4,Away,L 1–4,Newcastle Utd,Manchester Utd,Y,GK,90,6,4,2,33.3,0,2.2,0,0,0,0,12,28,42.9,30,0,76.7,54.8,9,55.6,43.8,9,1,11.1,0,10.6
2021-08-14,Daniel Bachmann,Matchweek 1,Home,W 3–2,Watford,Aston Villa,Y,GK,90,1,2,0,0,0,1.8,1,1,0,0,7,18,38.9,24,5,50,41.6,8,75,55.3,13,1,7.7,0,11.2
2021-08-21,Daniel Bachmann,Matchweek 2,Away,L 0–2,Watford,Brighton,Y,GK,90,3,2,1,33.3,0,1.1,0,0,0,0,1,5,20,18,3,27.8,29.7,8,0,27.3,8,1,12.5,0,13.5
2021-08-29,Daniel Bachmann,Matchweek 3,Away,L 0–1,Watford,Tottenham,Y,GK,90,8,1,7,87.5,0,1.2,0,0,0,0,5,14,35.7,29,10,34.5,37.6,9,44.4,36.3,11,0,0,0,11.7
2021-09-11,Daniel Bachmann,Matchweek 4,Home,L 0–2,Watford,Wolves,Y,GK,90,5,2,4,60,0,1.7,0,0,0,0,6,8,75,24,9,25,31,10,20,28,6,0,0,1,13
2021-11-28,Daniel Bachmann,Matchweek 13,Away,L 2–4,Watford,Leicester City,Y,GK,90,8,4,4,50,0,2.8,0,0,0,0,5,24,20.8,21,2,85.7,58.5,6,100,64.5,4,0,0,1,16.5
2021-12-01,Daniel Bachmann,Matchweek 14,Home,L 1–2,Watford,Chelsea,Y,GK,90,4,2,2,50,0,2.1,0,0,0,0,11,26,42.3,27,2,88.9,59.2,2,100,59.5,6,0,0,1,16
2021-12-04,Daniel Bachmann,Matchweek 15,Home,L 1–3,Watford,Manchester City,Y,GK,90,12,3,8,75,0,3.4,0,0,0,0,14,32,43.8,26,2,84.6,57.3,10,100,63.4,6,0,0,2,14.9
2021-12-10,Daniel Bachmann,Matchweek 16,Away,L 1–2,Watford,Brentford,Y,GK,90,4,2,3,75,0,2.1,1,1,0,0,6,21,28.6,13,0,100,67.6,8,100,68,11,0,0,2,15.1
2021-12-28,Daniel Bachmann,Matchweek 20,Home,L 1–4,Watford,West Ham,Y,GK,90,5,4,2,40,0,2.5,1,1,0,0,9,18,50,19,1,68.4,55.4,5,100,65,12,0,0,0,11.2
2022-01-01,Daniel Bachmann,Matchweek 21,Home,L 0–1,Watford,Tottenham,Y,GK,90,9,1,8,88.9,0,1.5,0,0,0,0,13,29,44.8,31,4,64.5,47.5,9,100,65.6,21,1,4.8,0,10
2022-01-21,Daniel Bachmann,Matchweek 23,Home,L 0–3,Watford,Norwich City,Y,GK,90,2,3,0,-50,0,1.3,0,0,0,0,3,11,27.3,16,2,50,37.4,5,60,50.2,3,0,0,1,15.7
2021-08-13,Bernd Leno,Matchweek 1,Away,L 0–2,Arsenal,Brentford,Y,GK,90,3,2,1,33.3,0,0.9,0,0,0,0,3,9,33.3,26,3,19.2,28.8,8,50,36.5,6,0,0,0,5.5
2021-08-22,Bernd Leno,Matchweek 2,Home,L 0–2,Arsenal,Chelsea,Y,GK,90,5,2,2,60,0,1.3,0,0,0,0,0,7,0,15,5,33.3,33.3,7,28.6,30.7,8,2,25,1,16.4
2021-08-28,Bernd Leno,Matchweek 3,Away,L 0–5,Arsenal,Manchester City,Y,GK,90,10,5,5,50,0,4.9,0,0,0,0,8,23,34.8,20,3,65,48.3,11,90.9,61.9,16,0,0,0,12.8
2022-03-19,Bernd Leno,Matchweek 30,Away,W 1–0,Arsenal,Aston Villa,Y,GK,90,1,0,1,100,1,0.3,0,0,0,0,5,14,35.7,13,1,38.5,40.7,11,81.8,59.5,18,0,0,0,12
2021-08-14,Lewis Dunk,Matchweek 1,Away,W 2–1,Brighton,Burnley,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
