Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG
2021-09-11,Ryan Bertrand,Matchweek 4,Home,L 0–1,Leicester City,Manchester City,Y,LB,90,22,24,91.7,339,123,11,12,91.7,9,10,90,1,1,100,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,0,2,3,66.7,1,23,8,34.8,14,6,3,7,1,0,6,0,4,1,0,39,9,20,15,4,0,33,0,0,0,0,0,11,48,21,1,0,0,0,2,18,15,83.3,0,0,0,0,0,0,0,0,0,0
2021-09-19,Ryan Bertrand,Matchweek 5,Away,L 1–2,Leicester City,Brighton,Y,LB,67,39,49,79.6,639,234,19,21,90.5,14,17,82.4,3,5,60,0,0.2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,50,3,6,1,0,0,0,0,1,1,2,0,52,2,13,26,14,0,39,0,0,0,0,0,32,138,43,3,0,0,0,1,35,33,94.3,0,0,0,0,0,0,0,0,0,0
2021-09-25,Ryan Bertrand,Matchweek 6,Home,D 2–2,Leicester City,Burnley,Y,LB,90,71,88,80.7,1271,489,33,36,91.7,34,38,89.5,4,10,40,0,0.1,1,7,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,100,0,17,4,23.5,9,4,4,1,0,0,1,0,2,2,0,96,1,21,52,30,4,76,0,1,0,1,1,62,260,102,4,2,1,1,1,69,63,91.3,2,0,0,0,0,0,0,0,0,0
2021-10-03,Ryan Bertrand,Matchweek 7,Away,D 2–2,Leicester City,Crystal Palace,Y,LB,90,22,30,73.3,360,231,12,12,100,8,13,61.5,1,2,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,1,1,100,0,25,8,32,14,8,3,3,2,0,1,2,5,2,0,41,6,17,20,7,0,34,0,0,0,0,0,17,98,50,3,1,0,3,1,26,17,65.4,0,0,0,0,0,0,1,0,0,0
2021-10-16,Joe Gelhardt,Matchweek 8,Away,L 0–1,Leeds United,Southampton,N,DM,14,2,4,50,59,31,0,0,0,1,1,100,1,3,33.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,20,0,3,2,0,0,0,0,0,0,0,0,7,0,0,6,1,1,7,1,1,100,1,0,7,30,14,1,0,0,0,0,16,5,31.3,1,0,0,0,0,0,0,0,0,0
2021-10-23,Joe Gelhardt,Matchweek 9,Home,D 1–1,Leeds United,Wolves,N,FW,29,4,4,100,40,10,3,3,100,1,1,100,0,0,0,0,0,1,0,0,0,0,6,3,0,1,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,3,50,2,1,3,0,0,0,0,1,1,0,0,11,0,0,1,10,8,11,3,4,75,3,0,11,57,52,3,0,1,0,1,11,8,72.7,3,0,0,0,3,1,0,0,0.5,0.5
2021-11-21,Joe Gelhardt,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,FW,86,15,19,78.9,180,47,8,11,72.7,4,4,100,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,54.5,2,12,8,1,0,0,1,0,0,1,0,34,1,3,17,18,6,31,4,6,66.7,4,0,28,130,56,4,1,2,2,2,40,17,42.5,6,0,0,0,4,2,1,0,0.3,0.3
2021-12-11,Joe Gelhardt,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,N,FW,10,1,1,100,24,16,0,0,0,1,1,100,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,1,2,0,0,0,0,0,0,0,0,3,0,1,1,2,1,3,0,0,0,0,0,2,54,51,0,1,0,1,0,3,3,100,1,1,0,0,1,1,0,0,0.2,0.2
2021-12-14,Joe Gelhardt,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,N,FW,45,7,8,87.5,99,21,3,3,100,3,3,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,10,4,40,4,6,0,0,0,0,0,0,1,0,0,15,0,4,11,2,0,12,0,2,0,1,0,9,33,23,1,0,0,1,1,11,7,63.6,0,0,0,0,0,0,0,0,0,0
2021-12-18,Joe Gelhardt,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,FW,90,11,16,68.8,105,12,9,10,90,1,4,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,7,22.6,1,16,14,0,0,0,0,1,1,0,0,27,0,1,19,10,3,22,1,2,50,1,0,22,100,48,3,2,0,2,3,35,17,48.6,5,0,0,0,0,0,1,0,0,0
2022-02-23,Joe Gelhardt,Matchweek 19,Away,L 0–6,Leeds United,Liverpool,N,FW,30,4,5,80,42,9,3,4,75,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,2,2,1,0,0,0,0,0,0,0,0,6,0,1,5,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,0,8,3,37.5,0,0,0,0,0,0,1,0,0,0
2022-03-10,Joe Gelhardt,Matchweek 20,Home,L 0–3,Leeds United,Aston Villa,N,AM,45,6,9,66.7,49,6,6,8,75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,25,0,4,8,0,0,0,0,0,0,0,0,14,0,0,7,7,1,14,1,1,100,1,0,11,72,60,4,0,1,0,2,21,14,66.7,8,0,0,0,2,1,1,0,0,0
2022-01-02,Joe Gelhardt,Matchweek 21,Home,W 3–1,Leeds United,Burnley,N,FW,33,2,4,50,35,21,1,3,33.3,1,1,100,0,0,0,1,0.2,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,10,2,20,0,3,7,0,0,0,0,0,1,0,0,9,0,0,3,7,2,9,1,3,33.3,2,0,7,22,20,2,0,0,1,0,23,6,26.1,3,0,0,0,1,0,0,0,0.1,0.1
2022-01-22,Joe Gelhardt,Matchweek 23,Home,L 0–1,Leeds United,Newcastle Utd,N,AM,11,2,3,66.7,26,4,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,100,0,0,2,1,0,0,1,0,0,0,0,5,0,0,0,5,2,5,1,3,33.3,1,0,7,30,16,1,0,1,0,0,6,4,66.7,1,0,0,0,0,0,0,0,0,0
2022-02-20,Joe Gelhardt,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,N,FW,45,4,5,80,73,25,0,0,0,4,4,100,0,0,0,0,0.1,2,0,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,2,3,66.7,1,11,4,36.4,0,5,6,2,0,0,2,0,3,0,0,18,0,2,8,10,5,18,0,3,0,1,0,10,53,44,5,0,2,1,1,20,11,55,7,0,0,0,2,1,0,0,0.2,0.2
