d_TklW,d_DribContest,d_SuccPress%,d_Int,d_Clr,d_Dis,d_TacklesDef3rd,d_Gls,d_Ast,d_KP,d_xG,d_xA,d_SoT,m_Cmp,m_PassAtt,m_Cmp%,m_Ast,m_xA,m_KP,m_DribShot,m_GCA,m_TklW,m_SuccPress%,m_Gls,m_xG,m_TacklesMid3rd,m_SoT,a_xG,a_SoT,a_Gls,a_CPA,a_Succ%,a_TacklesAtt3rd,a_GCA,a_Ast,a_xA,a_KP,a_Cmp,a_Int,a_Clr,g_GA,g_Saves,g_CS,g_PSxG,g_Cmp%,away_d_TklW,away_d_DribContest,away_d_SuccPress%,away_d_Int,away_d_Clr,away_d_Dis,away_d_TacklesDef3rd,away_d_Gls,away_d_Ast,away_d_KP,away_d_xG,away_d_xA,away_d_SoT,away_m_Cmp,away_m_PassAtt,away_m_Cmp%,away_m_Ast,away_m_xA,away_m_KP,away_m_DribShot,away_m_GCA,away_m_TklW,away_m_SuccPress%,away_m_Gls,away_m_xG,away_m_TacklesMid3rd,away_m_SoT,away_a_xG,away_a_SoT,away_a_Gls,away_a_CPA,away_a_Succ%,away_a_TacklesAtt3rd,away_a_GCA,away_a_Ast,away_a_xA,away_a_KP,away_a_Cmp,away_a_Int,away_a_Clr,away_g_GA,away_g_Saves,away_g_CS,away_g_PSxG,away_g_Cmp%,Home_goals_scored,Away_goals_scored,Home_team,Away_team,Date
1.0,1.5,21.325,0.25,2.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,53.333333333333336,57.333333333333336,89.66666666666667,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,21.7,0.0,0.0,0.3333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,47.23333333333333,0.0,0.0,0.0,0.03333333333333333,0.6666666666666666,20.333333333333332,0.0,0.6666666666666666,3.0,2.0,0.0,2.5,50.0,0.8,1.2,25.5,0.4,2.0,0.2,0.8,0.2,0.0,0.2,0.02,0.04,0.2,56.5,61.0,92.6,0.0,0.05,0.5,0.5,0.0,1.0,24.3,0.0,0.2,0.0,0.0,0.4666666666666666,1.3333333333333333,0.6666666666666666,1.0,50.0,0.0,1.0,0.6666666666666666,0.19999999999999998,1.6666666666666667,20.666666666666668,0.0,0.3333333333333333,0.0,2.0,1.0,0.0,100.0,0,3,Fulham,Arsenal,2020-09-12 11:30:00Z
1.25,1.25,22.45,0.25,6.0,0.75,1.75,0.0,0.0,0.0,0.05,0.0,0.25,11.75,23.5,45.275,0.25,0.125,1.0,0.0,0.5,0.5,32.0,0.0,0.025,0.5,0.0,0.2,1.0,0.5,1.0,37.5,2.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,5.0,1.0,0.8,24.0,2.5,1.75,46.375,0.25,2.25,1.5,3.0,0.0,0.0,0.5,0.025,0.025,0.25,39.25,51.5,74.525,0.0,0.025,0.25,0.0,0.0,2.25,32.925000000000004,0.0,0.07500000000000001,1.5,0.25,0.2,1.5,0.0,0.5,50.0,0.5,0.0,0.0,0.1,1.0,12.5,0.0,0.0,1.0,2.0,0.0,0.7,40.0,1,0,Crystal Palace,Southampton,2020-09-12 14:00:00Z
0.0,1.25,46.1,1.0,3.5,0.5,0.0,0.25,0.25,0.75,0.05,0.07500000000000001,0.25,24.0,30.666666666666668,78.66666666666667,0.0,0.03333333333333333,0.6666666666666666,0.0,0.0,1.3333333333333333,40.36666666666667,0.0,0.16666666666666666,1.3333333333333333,0.6666666666666666,0.8666666666666667,0.3333333333333333,1.0,1.3333333333333333,83.06666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,2.6666666666666665,33.333333333333336,0.0,0.0,3.0,0.0,0.0,2.1,16.7,2.0,3.5,34.525,1.25,6.75,0.75,2.25,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.6,73.14,0.4,0.06000000000000001,0.6,0.4,0.8,2.0,28.2,0.4,0.04,0.6,0.4,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,4.0,2.0,0.0,3.7,35.0,4,3,Liverpool,Leeds United,2020-09-12 16:30:00Z
0.75,1.5,13.524999999999999,0.5,4.75,0.0,0.5,0.0,0.0,1.5,0.0,0.1,0.0,38.666666666666664,46.333333333333336,83.26666666666667,0.0,0.10000000000000002,1.3333333333333333,0.0,0.0,1.0,21.7,0.0,0.13333333333333333,2.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.6666666666666666,33.333333333333336,0.0,0.0,0.0,0.0,0.3333333333333333,15.333333333333334,0.0,0.3333333333333333,2.0,1.0,0.0,2.1,40.0,1.25,1.25,37.2,0.25,6.0,0.25,1.5,0.0,0.0,1.0,0.025,0.05,0.25,29.0,36.0,82.65,0.25,0.2,1.25,0.0,0.5,1.0,42.2,0.25,0.05,0.75,0.25,0.5,0.5,0.5,1.5,58.35,0.0,0.5,0.0,0.05,1.5,17.5,0.0,2.0,0.0,3.0,1.0,0.9,35.3,0,2,West Ham,Newcastle Utd,2020-09-12 19:00:00Z
0.6,0.6,32.64,0.6,3.4,0.8,0.4,0.0,0.0,0.2,0.0,0.02,0.0,17.5,22.5,77.5,0.0,0.05,0.5,0.0,0.0,1.0,34.3,0.0,0.0,0.5,0.0,0.10000000000000002,0.3333333333333333,0.0,0.0,26.2,0.3333333333333333,0.0,0.0,0.03333333333333333,0.6666666666666666,17.666666666666668,0.6666666666666666,0.0,3.0,4.0,0.0,3.0,36.4,2.25,1.25,34.625,0.75,6.0,0.75,2.0,0.25,0.0,0.25,0.025,0.0,0.25,42.8,51.0,82.24000000000001,0.2,0.02,0.4,0.2,0.4,1.2,23.240000000000002,0.0,0.1,1.2,0.8,1.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.1,25.0,0,3,West Brom,Leicester City,2020-09-13 13:00:00Z
0.0,0.75,13.525,0.0,5.75,0.25,0.0,0.0,0.0,0.5,0.1,0.025,0.25,42.0,47.333333333333336,84.86666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,26.5,0.0,0.03333333333333333,1.3333333333333333,0.3333333333333333,0.13333333333333333,1.0,0.0,0.6666666666666666,8.333333333333334,0.3333333333333333,0.0,0.0,0.2333333333333333,2.0,19.333333333333332,0.3333333333333333,0.3333333333333333,1.0,4.0,0.0,0.5,57.1,0.75,1.0,36.375,0.75,8.5,0.25,0.75,0.0,0.25,0.5,0.0,0.025,0.25,44.333333333333336,51.666666666666664,86.23333333333333,0.0,0.06666666666666667,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,32.333333333333336,0.0,0.03333333333333333,0.6666666666666666,0.0,0.43333333333333335,1.3333333333333333,0.3333333333333333,3.0,88.89999999999999,0.0,0.3333333333333333,0.0,0.16666666666666666,2.3333333333333335,31.666666666666668,0.6666666666666666,0.6666666666666666,0.0,5.0,1.0,0.6,30.4,0,1,Tottenham,Everton,2020-09-13 15:30:00Z
0.8,2.0,24.479999999999997,0.0,2.0,0.4,0.2,0.0,0.0,0.2,0.04,0.04,0.0,42.666666666666664,57.0,73.76666666666667,0.0,0.06666666666666667,1.6666666666666667,0.0,0.0,0.3333333333333333,13.0,0.0,0.0,1.0,0.0,0.2,0.5,0.0,0.0,50.0,0.0,0.0,0.0,0.05,0.5,13.0,0.0,1.0,2.0,1.0,0.0,0.5,42.1,1.4,1.4,32.92,0.0,7.4,0.8,2.4,0.2,0.0,0.2,0.1,0.0,0.4,31.25,38.25,81.2,0.25,0.15000000000000002,1.75,0.25,0.5,0.75,24.7,0.25,0.2,0.25,0.5,0.0,0.0,0.0,0.0,66.7,0.0,2.0,1.0,0.1,1.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,61.1,0,2,Sheffield Utd,Wolves,2020-09-14 17:00:00Z
1.0,0.25,32.075,0.25,1.5,0.75,0.5,0.25,0.0,1.25,0.175,0.125,0.25,66.66666666666667,72.33333333333333,92.56666666666668,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,37.13333333333333,0.0,0.0,1.3333333333333333,0.3333333333333333,0.9333333333333335,1.6666666666666667,1.3333333333333333,1.0,47.199999999999996,0.0,2.0,1.0,0.43333333333333335,1.3333333333333333,24.666666666666668,0.3333333333333333,0.3333333333333333,2.0,2.0,0.0,0.5,28.6,0.6,1.8,23.8,0.4,3.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,34.5,84.65,0.0,0.0,0.0,0.0,0.0,0.5,23.4,0.0,0.1,0.0,0.0,0.03333333333333333,1.3333333333333333,0.6666666666666666,1.0,22.233333333333334,0.0,1.0,0.3333333333333333,0.06666666666666667,1.3333333333333333,20.333333333333332,0.6666666666666666,0.6666666666666666,5.0,2.0,0.0,4.1,28.6,5,2,Everton,West Brom,2020-09-19 11:30:00Z
1.5,1.5,34.525,0.25,1.5,1.5,1.75,0.0,0.0,0.0,0.05,0.0,0.25,25.8,37.8,68.5,0.2,0.06000000000000001,0.6,0.0,0.6,2.2,34.46,0.6,0.26,1.0,0.4,0.1,1.0,1.0,1.0,100.0,0.0,2.0,1.0,0.3,1.0,9.0,0.0,1.0,3.0,3.0,0.0,2.0,68.8,1.75,1.5,36.875,0.75,2.5,1.0,1.5,0.0,0.25,0.75,0.025,0.1,0.0,34.333333333333336,39.666666666666664,86.73333333333333,0.3333333333333333,0.09999999999999999,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.3333333333333335,38.13333333333333,0.0,0.0,1.6666666666666667,0.3333333333333333,0.43333333333333335,1.0,0.6666666666666666,0.0,38.9,0.0,0.6666666666666666,0.0,0.06666666666666667,0.6666666666666666,21.0,0.3333333333333333,0.3333333333333333,4.0,3.0,0.0,3.0,54.5,4,3,Leeds United,Fulham,2020-09-19 14:00:00Z
1.0,0.75,37.95,1.0,4.0,0.75,1.0,0.0,0.0,0.5,0.025,0.075,0.0,61.0,76.0,81.46666666666665,0.0,0.03333333333333333,2.3333333333333335,0.0,0.0,2.3333333333333335,29.633333333333336,0.0,0.13333333333333333,0.6666666666666666,1.0,0.03333333333333333,0.0,0.0,0.6666666666666666,31.666666666666668,0.0,0.0,0.0,0.03333333333333333,0.6666666666666666,31.333333333333332,0.0,0.3333333333333333,3.0,2.0,0.0,2.3,60.0,1.0,0.75,50.525000000000006,0.5,6.5,0.0,1.25,0.0,0.0,0.25,0.0,0.0,0.0,15.75,26.75,58.925,0.25,0.125,1.5,0.25,0.25,2.0,19.575000000000003,0.25,0.07500000000000001,0.25,0.25,0.65,1.5,1.0,2.0,37.5,0.0,0.5,0.0,0.15,1.0,8.5,1.5,0.0,1.0,3.0,0.0,1.3,38.9,1,3,Manchester Utd,Crystal Palace,2020-09-19 16:30:00Z
